緊急|きんきゅう
過去|かこ
免許|めんきょ
提供|ていきょう
強調|きょうちょう
積極|せっきょく
金融|きんゆう
具体|ぐたい
空気|くうき
景色|けしき
経営|けいえい
劇場|げきじょう
攻撃|こうげき
事件|じけん
建設|けんせつ
権利|けんり
元気|げんき
期限|きげん
現在|げんざい
故障|こしょう
今後|こんご
看護|かんご
工事|こうじ
交渉|こうしょう
好調|こうちょう
考慮|こうりょ
行動|こうどう
天候|てんこう
項目|こうもく
港|みなと
総合|そうごう
深刻|しんこく
根拠|こんきょ
格差|かくさ
採決|さいけつ
特急|とっきゅう
選挙|せんきょ
共産|きょうさん
協力|きょうりょく
勉強|べんきょう
最近|さいきん
現金|げんきん
具合|ぐあい
形式|けいしき
計画|けいかく
神経|しんけい
演劇|えんげき
欠席|けっせき
条件|じょうけん
建築|けんちく
権威|けんい
発言|はつげん
限度|げんど
現代|げんだい
故郷|こきょう
最後|さいご
弁護|べんご
工場|こうじょう
交換|こうかん
好評|こうひょう
参考|さんこう
行政|ぎょうせい
学校|がっこう
最高|さいこう
機構|きこう
合理|ごうり
彫刻|ちょうこく
調査|ちょうさ
交差|こうさ
採択|さいたく
